claim_id,tier,published,title,url
8372c85fd027,filed,2025-06-16,Federal Register — Review of the Commission's Assessment and Collection of Regulatory Fee,https://www.federalregister.gov/documents/2025/06/16/2025-11073/review-of-the-commissions-assessment-and-collection-of-regulatory-fees-for-fiscal-year-2025
e30deba45f00,filed,2024-09-25,Federal Register — Review of the Commission's Assessment and Collection of Regulatory Fee,https://www.federalregister.gov/documents/2024/09/25/2024-21159/review-of-the-commissions-assessment-and-collection-of-regulatory-fees-for-fiscal-year-2024
266c2cc8e525,filed,2024-06-28,USAspending award — FA945324CX046,https://www.usaspending.gov/award/CONT_AWD_FA945324CX046_9700_-NONE-_-NONE-
504fc4b0b230,filed,2022-10-01,USAspending award — 1332KP22CNEEP0014,https://www.usaspending.gov/award/CONT_AWD_1332KP22CNEEP0014_1330_-NONE-_-NONE-
c4aa9e8c6a07,reported,2026-08-25,"finanznachrichten.de — Spire Global , Inc .: EUMETSAT Awards Spire Global €4 Million One - Ye",https://www.finanznachrichten.de/nachrichten-2026-08/69399926-spire-global-inc-eumetsat-awards-spire-global-euro-4-million-one-year-contract-renewal-and-expansion-for-satellite-weather-data-004.htm
6a5d3fc8f908,reported,2026-08-19,fool.com — Spire Global ( SPIR ) Q2 2026 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2026/08/19/spire-global-spir-q2-2026-earnings-call-transcript/?source=iedfolrf0000001
78aaf21a1f00,reported,2026-08-18,themarketsdaily.com — Spire Global ( NYSE : SPIR ) Upgraded at Wall Street Zen,https://www.themarketsdaily.com/2026/08/18/spire-global-nysespir-upgraded-at-wall-street-zen.html
4a10f2b4fb84,reported,2026-06-23,"dailypolitical.com — Spire Global , Inc . ( NYSE : SPIR ) Receives $16 . 70 Average PT from",https://www.dailypolitical.com/2026/06/23/spire-global-inc-nysespir-receives-16-70-average-pt-from-analysts.html
3f4361d24be5,filed,2026-05-08,Federal Register — Review of the Commission's Assessment and Collection of Regulatory Fee,https://www.federalregister.gov/documents/2026/05/08/2026-09193/review-of-the-commissions-assessment-and-collection-of-regulatory-fees-for-fiscal-year-2026
4362c6cb8903,filed,2024-06-25,Federal Register — Review of the Commission's Assessment and Collection of Regulatory Fee,https://www.federalregister.gov/documents/2024/06/25/2024-13813/review-of-the-commissions-assessment-and-collection-of-regulatory-fees-for-fiscal-year-2024
